都道府県,市区,カテゴリ,会社名,住所,電話番号,URL,備考
東京都,杉並区,リサイクルショップ,素人の乱5号店,東京都杉並区高円寺北3-9-11,03-3330-2939,,高円寺北中通り商店街の老舗リサイクルショップ
東京都,豊島区,不用品買取,リサイクルAsuka,東京都豊島区北大塚1-14-7,03-3915-5557,https://www.kaitori-asuka.com/,家電/家具/骨董品/美術品など幅広く買取
東京都,豊島区,リサイクルショップ,総合リサイクルショップ めだま家,東京都豊島区高松1-1-18 1F,03-3959-8979,https://rpcom.co.jp/,古着・家電・家具・雑貨等を扱う地域密着型買取店
東京都,北区,リサイクルショップ,買取センター三浦商会,東京都北区志茂4-12-4,03-3903-2492,,
東京都,北区,リサイクルショップ,買取専門店さすがや王子店,東京都北区王子1-2-1,03-5961-2560,https://sasugaya.jp/,
東京都,北区,リサイクルショップ,中澤機械店,東京都北区田端新町2-17-11,03-3893-0840,,工作機械等の買取・卸中心
東京都,北区,リサイクルショップ,リサイクルショップワンツー,東京都北区東十条3-10-15,03-3911-7271,https://www.onetwo-shop.net/,引越・遺品整理時の不用品回収も対応
東京都,北区,リサイクルショップ,このみ,東京都北区中十条2-12-1,03-5948-5692,https://btt-konomi.com/,
東京都,荒川区,リサイクルショップ,なんでも家,東京都荒川区町屋2-3-10,03-3892-8308,,個人経営・日曜定休
東京都,荒川区,不用品買取,企業組合あうん,東京都荒川区東日暮里1-36-10,03-5604-0873,http://awn-net.com/,家電・古着・家具等を買取
東京都,板橋区,リサイクルショップ,リサイクルショップ平安高島平店,東京都板橋区高島平7-20-17,0120-07-1386,,
東京都,板橋区,不用品買取,マミーリサイクルショップ,東京都板橋区清水町77-8,0120-323-012,http://www.mamy-recycle-shop.com/,創業15年の地域密着店
東京都,板橋区,不用品買取,総合リサイクルTOYBOX,東京都板橋区舟渡4-16-6,03-3558-5374,,家具・家電・酒・楽器等の高価買取
東京都,練馬区,リサイクルショップ,楠本質店,東京都練馬区関町東2-11-4,03-3920-7878,,質屋・貴金属買取
東京都,練馬区,リサイクルショップ,総合リサイクルハロッズ,東京都練馬区三原台1-14-23,03-5933-0862,https://harrods.co.jp/,年中無休
東京都,足立区,不用品買取,遊遊市場,東京都足立区綾瀬7-16-22,03-5673-2424,https://youyou-itiba.com/,330坪の大型総合リサイクルショップ
東京都,足立区,不用品買取,リサイクルショップオサム,東京都足立区佐野2-13-9,03-3620-1099,https://www.ekiten.jp/shop_43198/,家電・家具・日用品を扱う地域密着の個人店
東京都,足立区,リサイクルショップ,キャプテンフランク,東京都足立区佐野2-13-9,03-3620-1099,,
東京都,葛飾区,リサイクルショップ,リサイクルショップえん,東京都葛飾区南水元4-2-24,03-6879-7031,,
東京都,葛飾区,リサイクルショップ,リサイクルブティックマリーノ,東京都葛飾区亀有3-15-8,03-5680-5677,,
東京都,江戸川区,リサイクルショップ,リユース・リパブリック,東京都江戸川区中葛西2-22-1,03-5878-1580,https://ec-republic.com/,
東京都,江戸川区,リサイクルショップ,リサイクルギャラリーNEWS江戸川店,東京都江戸川区春江町2-50-11,03-5636-1733,https://news.gr.jp/,
東京都,千代田区,不用品買取,古美術 漢和堂,東京都千代田区神田神保町1-22-7,03-3259-2668,http://kangwado.com/,中国古美術（陶磁器・文房具・書画等）専門の買取店
東京都,千代田区,不用品買取,栄豊齋,東京都千代田区神田司町2-8-4,03-3258-9088,https://www.eihousai.com/,骨董品（掛軸・茶道具・陶器等）買取と遺品整理に対応
東京都,千代田区,不用品買取,中（あたり）質店,東京都千代田区神田神保町2-3,03-3261-6570,https://www.atarishichiten.com/,宝石・時計・海外ブランド品専門の質屋
東京都,新宿区,不用品買取,株式会社ニューワールドヨンイルサ,東京都新宿区大久保2-18-10,03-3208-4989,https://www.newworldyonirusa.com/,新大久保駅徒歩6分。家電・家具・中古品の買取と店頭販売
東京都,新宿区,不用品買取,トリノス,東京都新宿区神楽坂6-23,03-6885-1766,https://www.torinoth.com/,アンティーク・雑貨中心のリサイクルセレクトショップ
東京都,新宿区,不用品買取,リサイクルショップecocolo,東京都新宿区西新宿5-15-6,03-3373-7555,https://ecocolo.jp/,1991年設立の地元事業者
東京都,新宿区,不用品買取,リサイクルボム,東京都新宿区大久保2-5-20,03-6228-0091,https://www.ekiten.jp/shop_6255576/,東新宿駅徒歩7分の個人経営の小規模店舗
東京都,文京区,不用品買取,三浦ピアノ本郷店,東京都文京区本郷6-26-1,03-3811-5906,https://miurapiano.com/,ピアノ専門の買取・修理・販売
東京都,台東区,不用品買取,リサイクルショップBOURGEONNER,東京都台東区松が谷3-8-3,0120-527-714,https://taitokukaitori.com/,家電・家具・着物・ブランド品等の出張買取
東京都,台東区,不用品買取,総合リサイクル日本市,東京都台東区上野3-17-5 3F,0120-089-689,https://nihon-ichi.info/,都内2拠点のみの独立系。出張買取中心
東京都,台東区,不用品買取,リサイクルショップレトリーバー入谷店,東京都台東区入谷2-3-1,03-3876-5184,https://www.recycle-retriever.com/,家電・貴金属・家具等幅広く買取
東京都,墨田区,不用品買取,リサイクルショップてるてるぼうず,東京都墨田区東向島2-14-1,03-3616-2439,https://www.recycle-store.net/108tokyoto/10120740014.html,家具・家電・雑貨等の店頭買取／出張買取対応
東京都,墨田区,不用品買取,晟興商事株式会社,東京都墨田区江東橋4-25-7,03-6659-6588,https://www.seikou8.com/,中古家電・家具の店頭買取／出張買取
東京都,墨田区,不用品買取,株式会社山久,東京都墨田区業平1-3-13,03-3625-0288,https://www.yama9-recycle.com/,家具・家電・工具・楽器等の買取
東京都,江東区,不用品買取,生活快館ララ,東京都江東区扇橋3-1-6,03-3699-8666,https://seikatsukaikanlala.com/,家具・家電・食器・宝飾品等を買取
東京都,江東区,不用品買取,生活快館LaLa,東京都江東区北砂4-35-10,03-5677-5170,,家具・家電・バッグ・宝飾品等を買取
東京都,江東区,不用品買取,リサイクルアピオ,東京都江東区東砂4-16-10,03-3640-0684,https://www.ekiten.jp/shop_3080152/,小型家具・家電・釣具・楽器等を買取
東京都,品川区,不用品買取,Lumber Room武蔵小山店,東京都品川区荏原3-5-7 1F,03-6421-6408,https://lumberroom635.com/,ヴィンテージ家具・生活家電等の買取販売
東京都,品川区,不用品買取,もぐランド武蔵小山店,東京都品川区小山3-2-4,03-5734-1156,https://www.recycleshop-mogland.jp/,品川区に本社を置く地域密着業者
東京都,品川区,不用品買取,ウエストヴィレッジ荏原町店,東京都品川区中延5-3-9,03-6426-8420,https://westvillage.tokyo/,荏原町商店街内・衣類雑貨食器家電の買取販売
東京都,品川区,不用品買取,リサイクルショップリボン大井町店,東京都品川区広町2-1-36,03-5742-6933,https://www.ekiten.jp/shop_3017592/,家具・インテリア中心の買取・委託販売
東京都,目黒区,不用品買取,リサイクルショップサイ中目黒店,東京都目黒区東山1-3-3,03-5724-3474,http://nakameguro.sai-works.com/,家具・家電・貴金属・美術品まで買取
東京都,目黒区,不用品買取,Hand To Mouth,東京都目黒区中町1-35-8,03-3785-0355,https://hand-to-mouth-online.com/,デザイン性重視の家具・インテリア・ファッション買取
東京都,目黒区,不用品買取,オフバザール学芸大学店,東京都目黒区鷹番2-4-12,03-6303-2880,,総合リサイクル。品川区・目黒区中心の小規模地域チェーン
東京都,大田区,不用品買取,e-生活館,東京都大田区大森中2-1-1,03-5763-5541,https://e-seikatsukan.com/,家具館・家電館の2店舗運営
東京都,大田区,不用品買取,ココカラココロ,東京都大田区中央1-21-5,03-6303-8866,https://cococaracocoro.jp/,出張・持込・宅配買取に対応
東京都,世田谷区,不用品買取,ばら商店 三軒茶屋本店,東京都世田谷区代沢4-16-19,03-3413-7768,http://www.barashoten.com/,骨董・家具・家電を扱う老舗。世田谷区内2店舗のみ
東京都,世田谷区,不用品買取,アドア東京世田谷店,東京都世田谷区上用賀6-26-7,03-3706-3380,https://www.a-zrecycle.com/,家具買取専門・開業10年超の単独店舗
東京都,渋谷区,不用品買取,安藤商店,東京都渋谷区笹塚1-59-15,03-5990-6654,https://www.andoshouten-kaitori.com/,骨董品・アンティーク品・ブランド品の買取と販売
東京都,渋谷区,不用品買取,リサイクルショップインディゴ,東京都渋谷区笹塚2-22-2,03-5304-0356,https://www.rsindigo.com/,家電・家具等を店頭・出張で買取
東京都,渋谷区,不用品買取,フォーカス,東京都渋谷区千駄ヶ谷3-7-4,03-6721-0435,https://www.focus.tokyo.jp/,ブランド家具・デザイナーズ家具・オフィス家具・家電専門
東京都,中野区,不用品買取,リサイクルショップギャザー,東京都中野区東中野5-5-6,03-5389-4339,https://www.heart-beat-nakano.com/shop/42009.html,東中野で16年の地域密着店
東京都,中野区,不用品買取,リサイクルショップティファナ,東京都中野区新井4-13-23,03-5318-3733,https://www.tifana.net/,中野発祥の地域チェーン
東京都,中野区,不用品買取,株式会社エイブイ,東京都中野区上鷺宮5-10-1,03-3998-4610,https://eibui.co.jp/,創業35年の地域密着リサイクルショップ
東京都,杉並区,不用品買取,リサイクルショップもぐランド杉並永福店,東京都杉並区永福4-19-6,03-6304-3513,https://www.recycleshop-mogland.jp/,家具・家電・着物等総合買取
東京都,杉並区,不用品買取,骨董品買取道具屋慈光,東京都杉並区西荻北4-8-8,03-5382-5171,https://antiquesjikoh.com/,骨董品・アンティーク家具・茶道具等
東京都,杉並区,不用品買取,古着買取unstitch,東京都杉並区高円寺南3-45-13-203,03-3317-2188,http://www.unstitch.com/,古着・ブランド品買取
東京都,豊島区,不用品買取,リサイクルショップめだま家,東京都豊島区上池袋3-33-22,03-3915-6825,https://rpcom.co.jp/,古着/家電/家具/雑貨/楽器買取
東京都,豊島区,不用品買取,リサイクルショップらやね,東京都豊島区上池袋1-10-9,03-3940-4242,https://www.rayaneh1.com/,家具/家電等の不用品買取・出張買取対応
東京都,北区,不用品買取,リサイクルショップ・ネオ,東京都北区赤羽1-16-2,03-3903-1331,https://www.mapion.co.jp/phonebook/M02013/13117/21331074107/,赤羽駅東口徒歩1分・家電家具等の買取
東京都,北区,不用品買取,ROD-リサイクルショップ・ワンツー,東京都北区東十条3-10-15,03-3911-7271,https://www.onetwo-shop.net/,家電家具からおもちゃまで幅広く買取
東京都,北区,不用品買取,マーリサイクルショップ,東京都北区田端新町3-1-1,03-3892-5622,https://ma-recycle.com/,冷蔵庫や洗濯機など生活家電中心に買取
東京都,荒川区,不用品買取,有限会社おくらや,東京都荒川区東日暮里6-16-13,03-3805-2222,https://www.recycle-store.net/108tokyoto/10338052222.html,質屋・古物商として貴金属・ブランド品等の高価買取
東京都,荒川区,不用品買取,リサイクル123,東京都荒川区東日暮里6-37-7,0120-988-448,https://recycle123.net/,家具・家電の出張査定・現金買取
東京都,板橋区,不用品買取,リサイクルショップカモン,東京都板橋区上板橋3-11-5,03-6915-7134,http://www.tokyo-comeon.jp/,地域密着の買取専門店
東京都,練馬区,不用品買取,リサイクルショップナガワ,東京都練馬区北町3-19-4,03-3933-3275,https://re-nagawa.com/,老舗買取専門店
東京都,練馬区,不用品買取,リサイクルショップエコキーパーズ,東京都練馬区石神井町7-4-3,03-3996-6122,https://ecokeepers.jp/,石神井公園駅南口徒歩6分の地域密着店
東京都,練馬区,不用品買取,リサイクルショップたかせ,東京都練馬区春日町3-3-2,03-3970-5143,https://itp.ne.jp/info/136300836100000899/,創業50年以上の老舗
東京都,葛飾区,不用品買取,コジマリサイクル買取センター,東京都葛飾区亀有4-22-3,03-3602-0783,https://www.genkinkaitori-katsushika-kojimarecycle.com/,亀有駅徒歩8〜10分の地域密着買取店
東京都,葛飾区,不用品買取,古道具買取サンマ,東京都葛飾区柴又1-9-9,070-4093-9524,https://www.kaitori-sanma.com/,予約制の古道具・骨董買取店
東京都,江戸川区,不用品買取,THEリサイクルショップ,東京都江戸川区南小岩7-29-3,03-5876-7933,https://the-recycleshop.com/,小岩駅南口徒歩5分・単独独立店舗
東京都,江戸川区,不用品買取,リユース・リパブリック環七葛西店,東京都江戸川区中葛西2-22-1,03-5878-1580,https://ec-republic.com/,運営元は江戸川区所在の株式会社わくらく
東京都,江戸川区,不用品買取,リユース家電Happy西葛西店,東京都江戸川区西葛西7-5-3,03-3688-1230,https://www.119happy.net/,西葛西駅南口徒歩8分・中古家電専門
